,medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
0,FE7B354FEB67B9C94BD34EA54469691C,2C78614ADC9C602EC70D65CCB4E63B14,CMT,1,N,2013-03-01 00:00:04,2013-03-01 00:19:03,1,1138,14.3,-73.776703,40.645164,-73.913925,40.772614
1,B1370E6501ED61CEDA0160199AF7708C,08BF18740B38D64720C9E060429A3968,CMT,1,N,2013-03-01 00:00:18,2013-03-01 00:12:11,1,712,3.3,-73.987343,40.752056,-73.96534,40.792721
2,CBC20164C22B96CAF5BC86C49F749DBB,F3310C8DA3DB753DDB5800F32D3CB8E3,CMT,1,N,2013-03-01 00:00:18,2013-03-01 00:14:24,1,845,4.5,-73.991493,40.726444,-73.980865,40.77837
3,B8256802A449BEF34E161654BFA8A2B6,DF142C5256392C3CDA67C7DFFA5B88E2,CMT,1,N,2013-03-01 00:00:23,2013-03-01 00:14:56,1,872,9.0,-73.873108,40.774094,-73.96093,40.769535
4,0F9E0728AB1E40D5CEB0C6EDBF805CCB,10D2E58D75E07D6B5AAFA329BF5A4CAC,CMT,1,N,2013-03-01 00:00:35,2013-03-01 00:05:44,1,308,1.3,-73.990562,40.750927,-73.98288,40.739132
5,D9F2D9B8520157F35D92FE58FF672D0D,A38CE69F84E515A71DF18F9786F13690,CMT,1,N,2013-03-01 00:00:39,2013-03-01 00:16:09,1,930,4.1,-73.981033,40.759205,-73.921646,40.738354
6,CFC0F9CE3CA2B3A535EDADD92D54BE66,3DD549B1A5F1EF31372BF2933B2C8D54,CMT,1,N,2013-03-01 00:00:39,2013-03-01 00:10:14,1,574,2.4,-74.000099,40.734695,-73.974518,40.75349
7,9EB16B34B8DCE740996F58F8187C9A34,DF4C8A343928E47C39E93A012920ABD3,CMT,1,N,2013-03-01 00:00:51,2013-03-01 00:11:40,1,649,2.8,-73.977486,40.73822,-73.988907,40.719063
8,BFB50E2A29509C8194B47AE5D1451C64,5490FCCC1EEFC71E55C8D4E5F6A45D9B,CMT,1,N,2013-03-01 00:00:39,2013-03-01 00:11:58,1,678,2.3,-73.982254,40.770771,-73.970917,40.748852
9,8AD0B4FDBF2F62F88E735AD08C3D2CD7,A1BADDEEB8F3AD97382EE436DAD74B20,CMT,1,N,2013-03-01 00:04:49,2013-03-01 00:08:51,1,241,1.1,-73.95578,40.772518,-73.946823,40.781628
